English,Arabic
heart,قلب
soon,قريباً
each,كل
worry,يقلق
later,لاحقاً
year,سنة
watch,يشاهد
music,موسيقى
hand,يُسلِّم
having,وجود
doctor,طبيب
sit,يجلس
eat,يأكل
young,شاب
second,ثانية
water,ماء
person,شخص
part,جزء
kids,أطفال
late,متأخر
stuff,أشياء
under,تحت
death,موت
minute,دقيقة
pay,يدفع
crazy,مجنون
forget,ينسى
kid,طفل
change,يتغير
gave,أعطى
happen,يحدث
damn,اللعنة
five,خمسة
drink,شرب
far,بعيد
knows,يعرف
its,إنه
eyes,عيون
shut,اغلق
aren,آرين
hit,يضرب
taking,أخذ
easy,سهل
times,مرات
check,يفحص
hands,الأيدي
deal,اتفاق
means,وسائل
point,نقطة
inside,داخل
makes,يجعل
asked,سأل
mine,مِلكِي
making,تحضير
body,جسم
afraid,خائف
sleep,ينام
chance,فرصة
dear,عزيزي
quite,تمامًا
four,أربعة
anyway,على أي حال
close,يغلق
ain,عين
party,حزب
fun,هزار
against,ضد
word,كلمة
comes,يأتي
set,تعيين
shall,سوف
story,قصة
number,رقم
least,الأقل
hurt,يؤذي
wish,يتمنى
moment,لحظة
fight,يعارك
week,أسبوع
girls,فتيات
rest,استراحة
fire,نار
game,لعبة
nobody,لا أحد
mr,السيد
side,جانب
stand,يقف
read,يقرأ
though,رغم ذلك
cut,يقطع
sister,أخت
between,بين
child,طفل
goes,يذهب
hours,ساعات
speak,يتكلم
women,نحيف
behind,خلف
almost,بالكاد
truth,حقيقة
blood,دم
able,قادر
lady,سيدة
anymore,بعد الآن
gets,يحصل
shot,طلقة
reason,سبب
break,استراحة
war,حرب
city,مدينة
walk,يمشي
town,بلدة
trust,يثق
dr.,دكتور.
met,التقى
office,مكتب
brought,أحضر
yours,لك
high,عالي
wow,رائع
couple,زوج
half,نصف
died,مات
cool,رائع
free,حر
either,أيضاً
seems,يبدو
power,قوة
whoa,قف
bye,الوداع
buy,يشتري
honey,عسل
tried,حاول
front,أمام
team,فريق
answer,إجابة
gun,بندقية
boys,الأولاد
line,خط
send,يرسل
news,أخبار
stupid,غبي
bed,سرير
hurry,عجل
full,ممتلىء
months,شهور
save,يحفظ
become,يصبح
along,على امتداد
hate,يكره
food,طعام
light,ضوء
l,ل
needs,الاحتياجات
dog,كلب
country,دولة
clear,واضح
order,طلب
em,م
fact,حقيقة
lord,رب
captain,قبطان
six,ستة
hot,حار
funny,مضحك
black,أسود
mrs.,السّيدة.
alive,على قيد الحياة
pick,يختار
living,معيشة
cause,سبب
ahead,قدما
lose,يخسر
king,ملِك
plan,يخطط
dinner,عشاء
sighs,يتنهد
sort,نوع
boss,رئيس
alright,على ما يرام
taken,مأخوذ
safe,آمن
ma,أماه
book,كتاب
sent,مرسل
white,أبيض
hour,ساعة
anybody,أي شخص
small,صغير
cause,سبب
lives,حياة
s,ق
john,جون
sounds,يبدو
sick,مريض
company,شركة
ha,ها
scared,مقدس
uncle,عم
poor,فقير
red,أحمر
past,ماضي
earth,أرض
shoot,تبادل لاطلاق النار
touch,يلمس
sound,صوت
top,قمة
ass,مؤخرة
laughs,يضحك
cannot,لا أستطيع
asking,يسأل
win,يفوز
glad,مسرور
control,يتحكم
hmm,همم
human,بشر
drive,يقود
hair,شعر
jack,جاك
bitch,عاهرة
luck,حظ
murder,قتل
air,هواء
ten,عشرة
daddy,بابي
fast,سريع
cold,بارد
seem,يبدو
words,كلمات
street,شارع
hang,يشنق
dance,رقص
till,حتى
others,آحرون
catch,يمسك
follow,يتبع
sense,حاسة
sex,الجنس
lie,كذب
master,يتقن
known,معروف
dream,حلم
write,يكتب
voice,صوت
sweet,حلو
rather,بدلاً
felt,شعر
sign,لافتة
lucky,محظوظ
bet,رهان
o,س
jesus,عيسى
longer,أطول
calling,الاتصال
worked,عملت
quiet,هادئ
looked,بدا
less,أقل
pull,يحذب
beat,يهزم
careful,حذرا
coffee,قهوة
return,يعود
secret,سر
weeks,أسابيع
weren,وارين
date,تاريخ
seeing,رؤية
fall,يسقط
given,منح
ooh,أوه
fault,عيب
takes,يأخذ
song,أغنية
future,مستقبل
loved,أحب
changed,تغير
road,طريق
calm,هادئ
mad,مجنون
turned,تحولت
drop,يسقط
ladies,السيدات
learn,يتعلم
step,خطوة
absolutely,قطعاً
early,مبكر
clean,ينظف
piece,قطعة
throw,يرمي
land,أرض
feet,قدم
wonder,يتعجب
worth,يستحق
darling,محبوب
dude,يا صديقي
giving,العطاء
eye,عين
quick,سريع
moving,تتحرك
figure,شكل
state,ولاية
strong,قوي
sam,سام
none,لا أحد
amazing,مدهش
ones,تلك
works,يعمل
act,يمثل
needed,ضروري
weird,غريب
law,قانون
report,تقرير
choice,خيار
chief,رئيس
pain,ألم
am,أكون
decided,مقرر
ya,نعم
pass,يمر
tired,مرهق
class,فصل
kept,أبقى
wake,استيقظ
worse,أسوأ
busy,مشغول
eh,ايه
kiss,قبلة
court,محكمة
finish,ينهي
during,خلال
age,عمر
ship,سفينة
caught,أمسك
marry,الزواج
meant,عنى
sell,يبيع
dark,مظلم
system,نظام
movie,فيلم
ride,يركب
t,ر
completely,بالكامل
mouth,فم
tv,تلفزيون
born,وُلِدّ
information,معلومة
definitely,قطعاً
film,فيلم
month,شهر
lying,يكذب
unless,إلا إذا
train,يدرب
seven,سبعة
wear,يرتدي
clothes,ملابس
hotel,الفندق
attack,هجوم
hasn,hasn
round,دائري
expect,يتوقع
sing,يغني
george,جورج
bag,شنطة
blue,أزرق
near,قريب
broke,كسر
david,ديفيد
frank,صريح
except,يستثني
thinks,يعتقد
entire,كامل
joe,جو
table,طاولة
talked,تحدث
across,عير
rock,صخر
lovely,محبوب
handle,مقبض
middle,وسط
buddy,صاحب
paid,مدفوع
using,استخدام
floor,أرضية
ran,ركض
swear,يُقسم
spend,ينفق
ring,جرس
bill,فاتورة
york,نيويورك
army,جيش
lead,يقود
bought,مُشترى
fair,عدل
sun,شمس
letter,خطاب
fool,أحمق
club,club
simple,بسيط
interesting,مثير للاهتمام
space,فضاء
test,امتحان
box,صندوق
group,مجموعة
single,أعزب
join,ينضم
fear,يخاف
d,د
peace,سلام
forgot,نسيت
force,قوة
short,قصير
normal,طبيعي
charlie,تشارلي
enjoy,يتمتع
mike,مايك
crime,جريمة
horse,حصان
ground,أرضي
count,عدد
area,منطقة
charge,تكلفة
honor,شرف
lunch,غداء
miles,أميال
radio,راديو
idiot,غبي
ball,كرة
paper,ورق
key,مفتاح
boat,قارب
gold,ذهب
bar,حاجِز
fish,سمكة
mark,علامة
tom,توم
crying,بكاء
government,حكومة
eight,ثمانية
fell,يسقط
cover,غطاء
certain,تأكيد
interested,مهتم
deep,عميق
star,نجم
sea,بحر
agree,يوافق
prison,سجن
major,رئيسي
stick,يلزق
offer,يعرض
smart,ذكي
record,سِجِلّ
hide,يخفي
bank,بنك
trip,رحلة
relax,يستريح
america,أمريكا
public,عام
list,قائمة
brain,مخ
fix,يصلح
bastard,نذل
proud,فخور
tea,شاي
angry,غاضب
park,حديقة
soul,روح
peter,بيتر
rich,ثري
agent,عامل
blow,ينفخ
paul,بول
dress,فستان
mary,ماري
missed,مٌفتَقد
scene,مشهد
saved,أنقذ
mm,مم
killer,القاتل
ice,الجليد
mess,فوضى
tough,قاسٍ
feels,يشعر
church,كنيسة
sad,حزين
cell,خلية
drunk,في حالة سكر
share,يشارك
camera,آلة تصوير
mm-hmm,مم هممم
within,داخل
card,بطاقة
fly,سافر
ben,بن
girlfriend,صديقة
laugh,يضحك
smell,يشم
broken,مكسور
mum,ماما
honest,أمين
often,غالباً
calls,المكالمات
y,ذ
spent,قضى
third,ثالث
visit,يزور
mama,ماما
judge,يحكم على
window,نافذة
hungry,جائع
dare,يجرؤ
relationship,علاقة
moved,انتقل
prove,يثبت
wall,حائط
seat,مقعد
i-i,أنا-أنا
lieutenant,ملازم
lt,لتر
especially,خصوصاً
art,فن
bloody,دموي
college,كلية
french,فرنسي
cry,يبكي
became,أصبح
lived,عاش
impossible,مستحيل
accept,يقبل
besides,بجانب
queen,ملكة
cops,رجال شرطة
sake,من أجل
loves,يحب
carry,يحمل
teach,تعليم
upset,منزعج
green,أخضر
la,لا
liked,أحب
cute,لطيف
evil,شر
contact,اتصال
joke,نكتة
cop,شرطي
huge,ضخم
holy,مقدس
store,محل
jail,سجن
likes,يحب
lawyer,محامي
doubt,شك
appreciate,يُقَدِّر
cat,قطة
shop,محل
congratulations,تهانينا
wrote,كتب
quit,يترك
field,مجال
james,جيمس
wine,خمر
south,جنوب
slow,بطيء
island,جزيرة
glass,زجاج
cash,نقدي
dying,الموت
whose,لمن
difference,اختلاف
plane,طائرة
push,يدفع
mmm,ط ط ط
eating,الأكل
north,شمال
mrs,السّيدة
tree,شجرة
madam,سيدتي
gift,هدية
truck,شاحنة
bear,دُبٌّ
board,سبورة
grab,يمسك
beer,جعة
stuck,عالق
magic,سحر
rules,قواعد
grunts,همهمات
reach,يصل
wind,رياح
colonel,عقيد
max,الأعلى
immediately,في الحال
gives,يعطي
experience,خبرة
cheers,هتافات
victim,ضحية
upon,على
christ,المسيح
planet,كوكب
bus,حافلة
henry,هنري
dirty,متسخ
search,يبحث
dreams,أحلام
arrest,اعتقال
lots,الكثير
shoes,أحذية
er,إيه
jump,القفز
rid,يتخلص
yo,يو
knock,يطرق
owe,يدين
harry,هاري
grow,ينمو
worst,أسوأ
river,نهر
aunt,عمة
aah,آآآه
fat,سمين
passed,اجتاز
m,م
final,أخير
summer,صيف
bob,بوب
escape,يهرب
everywhere,في كل مكان
moon,قمر
arms,الأسلحة
turns,المنعطفات
address,عنوان
ow,آه
match,مباراة
gasps,يلهث
grand,كبير
yep,نعم
shh,صه
de,دي
choose,يختار
themselves,أنفسهم
decide,يقرر
mate,رَفِيق
press,يضعط
bother,يزعج
foot,قدم
hadn,هادن
blame,لوم
crap,هراء
drugs,المخدرات
type,يكتب
rings,حلقات
named,اسمه
heaven,سماء
ii,ثانيا
picked,اختار
paris,باريس
race,سباق
risk,مخاطرة
books,كتب
danny,داني
action,فعل
allowed,مسموح
orders,طلبات
price,سعر
arrived,وصل
nick,نيك
fit,ملائم
smoke,دخان
favor,صالح
played,لعبت
notice,يلاحظ
awesome,مذهل
smile,يبتسم
guard,يحمي
begin,يبدأ
spot,بقعة
london,لندن
enemy,العدو
battle,معركة
alex,اليكس
allow,يسمح
nine,تسعة
gay,مثلي الجنس
department,قسم
guilty,مذنب
apart,منفصل
duty,واجب
jim,جيم
suit,بدلة
bell,جرس
west,الغرب
legs,الساقين
hero,بطل
destroy,تدمير
stage,منصة
bunch,حزمة
chicken,فرخة
bigger,أكبر
low,قليل
admit,يعترف
closed,مغلق
names,أسماء
arm,ذراع
steal,يسرق
jimmy,جيمي
kick,ركلة
twice,مرتين
cross,يعبر
ways,طرق
indeed,بالفعل
gas,غاز
energy,طاقة
waste,يضيع
helped,ساعد
fired,أطلقت
tony,توني
taste,ذوق
locked,مغلق
places,الأماكن
adam,آدم
starts,يبدأ
prince,الأمير
form,استمارة
sold,مُباع
silly,سخيف
build,يبني
throat,حُلقُوم
hole,فتحة
track,مسار
lock,قفل
leg,رجل
above,فوق
hiding,إخفاء
steve,ستيف
seemed,بدا
engine,محرك
video,فيديو
fresh,طازج
weapon,سلاح
sky,سماء
ms.,آنسة.
stole,سرق
study,يذاكر
burn,يحرق
crowd,حشد
treat,يعامل
roll,لفافة
double,مزدوج
spirit,روح
danger,خطر
cost,يكلف
empty,فارغ
level,مستوى
memory,ذاكرة
itself,نفسها
acting,التمثيل
nose,أنف
plans,خطط
built,بنيت
closer,أقرب
ray,راي
sarah,سارة
band,فرقة
groans,آهات
apparently,فيما يبدو
losing,خسارة
animals,الحيوانات
flight,رحلة جوية
nature,طبيعة
raise,يرفع
pop,موسيقى البوب
client,عميل
bomb,قنبلة
neck,رقبة
warm,دافيء
extra,إضافي
bottle,زجاجة
van,شاحنة
heavy,ثقيل
mommy,الأم
dogs,كلاب
wild,بري
ridiculous,سخيف
simply,ببساطة
lee,لي
animal,حيوان
showed,أظهر
billy,بيلي
keeps,يبقي
camp,مخيم
guns,البنادق
shame,عار
hoping,على أمل
whom,مَن
bird,طائر
famous,مشهور
asleep,نائما
beauty,جمال
driver,driver
keys,مفاتيح
rain,مطر
awful,مريع
large,كبير
local,محلي
deserve,يستحق
stone,حجر
jane,جين
grace,جمال
lay,يضع
plenty,كثير
pants,بنطال
sweetheart,حبيب
skin,جلد
asshole,الأحمق
beach,شاطئ
c,ج
faith,إيمان
beg,التسول
fuckin,فوكين
responsible,مسؤول
opportunity,فرصة
common,شائع
bottom,قاع
german,ألمانية
cook,يطبخ
walked,مشى
papers,أوراق
hall,قاعة
drug,دواء
main,رئيسي
knife,سكين
devil,شيطان
lights,أضواء
flying,تحلق
dick,قضيب
rose,وَردَة
clearly,بوضوح
hat,قبعة
agreed,متفق
johnny,جوني
corner,ركن
code,شفرة
note,ملحوظة
tommy,تومي
due,حق
correct,صحيح
stars,النجوم
faster,أسرع
cars,سيارات
folks,يا قوم
i.,أنا.
fellow,زميل
shows,يظهر
leader,قائد
leaves,أوراق
restaurant,مطعم
east,شرق
blind,أعمى
ghost,شبح
cup,كوب
gotten,حصلت
tight,ضيق
conversation,محادثة
tells,يحكي
lies,يكذب
nor,ولا
pulled,سحبت
speed,سرعة
health,صحة
advice,نصيحة
held,محتجز
uh-huh,اه هاه
beyond,وَرَاءَ
rule,قاعدة
hardly,بالكاد
cousin,ابن عم
trial,محاكمة
ought,ينبغي
eddie,إدي
states,الدول
account,حساب
spoke,تكلم
file,ملف
understood,مفهومة
angel,ملاك
tape,الشريط
milk,لبن
pardon,عفو
vote,تصويت
jake,جيك
career,حياة مهنية
super,ممتاز
taught,مُدَرّس
robert,روبرت
biggest,أكبر
plays,مسرحيات
dancing,الرقص
copy,ينسخ
plus,زائد
martin,مارتن
cake,كعكة
among,ضمن
breath,يتنفس
chris,كريس
crew,طاقم
market,سوق
meat,لحمة
lied,كذب
size,مقاس
breathe,يتنفس
color,لون
loud,عالي
photo,صورة
aw,فصيل عبد الواحد
nearly,تقريبا
sight,رؤية
games,ألعاب
bridge,كوبري
coach,مدرب
checked,فحص
serve,يخدم
ideas,أفكار
investigation,تحقيق
center,مركز
older,كبار السن
pack,علية
doc,وثيقة
trick,حيلة
united,متحد
travel,يسافر
incredible,رائع
paying,دفع
teeth,أسنان
charles,تشارلز
chinese,الصينية
truly,حقا
bro,أخ
bobby,بوبي
target,هدف
feed,يٌطعم
nurse,ممرضة
e,ه
fake,مزيف
oil,زيت
belong,ينتمي ل
whoo,ووو
amy,ايمي
remain,يبقى
papa,بابا
onto,على
credit,ائتمان
ugh,لاف
discuss,يناقش
easier,أسهل
view,منظر
chair,كرسي
hurts,يؤلم
strike,يضرب
roger,روجر
fill,يملأ
dr,دكتور
kim,كيم
brown,بني
heads,رؤساء
all,الجميع
shirt,قميص
comfortable,مريح
guest,ضيف
pieces,قِطَع
dry,جاف
began,بدأ
aye,نعم
jeff,جيف
female,أنثى
ho,حو
cards,بطاقات
pray,يصلي
unfortunately,للأسف
balls,كرات
ended,انتهى
movies,أفلام
wash,غسل
heat,حرارة
usual,المعتاد
ticket,تذكرة
stolen,مسروقة
prefer,يفضل
aware,واعي
surely,بالتأكيد
male,ذكر
base,قاعدة
lift,يرفع
lab,مختبر
command,يأمر
proof,دليل
cream,كريم
create,يخلق
h,ح
afford,يمنح
sunday,الأحد
total,المجموع
dumb,أحمق
threw,رمى
france,فرنسا
birth,الولادة
created,مخلوق
british,بريطاني
noise,ضوضاء
nuts,المكسرات
birds,الطيور
social,اجتماعي
bodies,الهيئات
tie,رَابِطَة
opened,مفتوح
ours,لنا
bucks,دولارات
kevin,كيفن
mister,سيد
ugly,قبيح
ryan,ريان
focus,ركز
dan,دان
opens,يفتح
exist,يخرج
draw,يرسم
daniel,دانيال
bullet,رصاصة
anna,آنا
lately,مؤخرا
stayed,بقي
season,موسم
ends,ينتهي
joy,مرح
responsibility,مسؤولية
issue,مشكلة
sword,سيف
shower,دش
weak,ضعيف
fucked,مارس الجنس
lonely,وحيد
eric,اريك
tiny,صغير الحجم
desk,مكتب
pool,حمام سباحة
forced,القسري
settle,يستقر
indistinct,غير واضح
weight,وزن
gang,عصابة
bite,يعض
friday,جمعة
disappeared,اختفى
kinda,نوعا ما
horses,خيل
mayor,عمدة
babe,فاتنة
ancient,عتيق
thomas,توماس
staff,طاقم عمل
lines,خطوط
unit,وحدة
fan,معجب
fate,قدر
split,ينقسم
add,يضيف
slowly,ببطء
alarm,إنذار
member,عضو
slept,ينام
signed,وقعت
enter,يدخل
garden,حديقة
brings,يجلب
brave,شجاع
pig,خنزير
model,نموذج
finger,إصبع
access,وصول
failed,فشل
flat,مستوي
easily,بسهولة
discovered,اكتشف
based,قائم على
screw,أفسد
insane,مجنون
cares,يهتم
san,سان
scott,سكوت
path,طريق
soft,ناعم
harm,ضرر
style,أسلوب
sees,يرى
al,آل
signal,إشارة
nope,لا
spare,إضافي
speech,خطاب
covered,مغطاة
shake,هزة
loose,مرتخي
snow,ثلج
lake,بحيرة
bright,ساطع
roof,سَطح
ohh,أوهه
paint,طلاء
remind,يتذكر
pal,بال
naked,عارية
post,بريد
sugar,سكر
damage,ضرر
doors,أبواب
pete,بيت
ed,إد
wet,مبتل
nah,ناه
amount,كمية
kate,كيت
manage,يدير
safety,أمان
harder,أصعب
fbi,مكتب التحقيقات الفيدرالي
block,حاجز
fancy,باهِظ
chef,الشيف
dig,حفر
chest,صدر
drinks,مشروبات
dave,ديف
buried,مدفون
brian,بريان
trade,تجارة
changes,التغييرات
details,تفاصيل
divorce,الطلاق
maria,ماريا
theory,نظرية
gosh,يا إلهي
ruined,مدمر
gate,بوابة
spread,الانتشار
outta,outta
sudden,مفاجئ
coat,معطف
sooner,عاجلا
cheese,جبن
larry,لاري
spring,ربيع
page,صفحة
ears,آذان
simon,سيمون
castle,قلعة
hidden,مختفي
storm,عاصفة
cos,كوس
personally,شخصيا
artist,فنان
hill,تلة
permission,إذن
jerry,جيري
forest,غابة
barely,بالكاد
eggs,بيض
goin,ذاهب
regret,يندم
lesson,درس
lover,عاشق
bread,خبز
andy,أندي
legal,قانوني
ill,سوف
jason,جايسون
mood,مزاج
owner,مالك
caused,تسبب
beeping,التصفير
points,نقاط
dating,مواعدة
loss,خسارة
santa,سانتا
likely,محتمل
rent,إيجار
connection,اتصال
trees,الأشجار
doctors,الأطباء
rush,يسرع
rough,خشن
century,قرن
nights,الليالي
pair,زوج
runs,يدير
pocket,جيب
farm,مزرعة
matt,مات
bike,دراجة
ate,أكل
grew,نما
professional,احترافي
tim,تيم
parts,أجزاء
alan,آلان
university,جامعة
square,مربع
grandfather,جد
europe,أوروبا
genius,عبقري
cases,حالات
ruin,يخرب
winter,شتاء
tongue,لسان
da,دا
buying,شراء
cancer,سرطان
clock,ساعة
ocean,محيط
dna,الحمض النووي
liar,كذاب
tour,رحلة
thief,لص
bleep,صافرة
lisa,ليزا
rights,حقوق
competition,مسابقة
smith,سميث
emily,إميلي
boring,ممل
bones,العظام
plant,نبات
bless,يبارك
re,يكرر
crash,يتحطم
bedroom,غرفة نوم
lower,أدنى
silver,فضي
madame,سيدتي
defense,دفاع
toilet,مرحاض
event,حدث
complicated,معقد
shape,شكل
priest,كاهن
royal,royal
cheap,رخيص
downstairs,في الطابق السفلي
invite,يدعو
tears,دموع
avoid,يتجنب
higher,أعلى
burning,حرق
filled,مملوء
kelly,كيلي
alice,أليس
airport,مطار
jobs,وظائف
grown,نمت
walter,والتر
rachel,راشيل
giant,عملاق
woods,الغابة
n,ن
scare,تخويف
period,فترة
player,لاعب
stops,توقف
laura,لورا
repeat,يكرر
photos,صور
finds,يجد
suck,مص
china,الصين
humans,البشر
particular,خاص
proper,سليم
rome,روما
belongs,ينتمي
bath,حمام
hired,استأجرت
site,موقع
b,ب
led,قاد
guests,الضيوف
map,رسم خريطة
horn,قرن
eventually,مؤخراً
pity,شفقة
powers,القوى
ashamed,خجلان
assume,يفترض
rise,يعلو
fixed,مُثَبَّت
pounds,جنيه
data,بيانات
per,لكل
depends,يعتمد على
jury,هيئة المحلفين
waited,انتظر
clock,ساعة
doin,افعل
forces,القوات
walls,الجدران
grant,منحة
saving,توفير
speaks,يتحدث
fought,قاتل
meal,وجبة
deliver,يسلم
answers,إجابات
temple,معبد
scary,مخيف
jacket,سترة
switch,يُحوّل
grave,خطير
chase,يطارد
role,دور
odd,غريب
sexy,جنسي
faces,وجوه
becomes,يصبح
closes,يغلق
badly,بشكل سيء
tall,طويل
affair,شأن
television,تلفزيون
shock,صدمة
raised,نشأ
pizza,بيتزا
image,صورة
clears,يمسح
golden,ذهبي
sexual,جنسي
suffer,يعاني
arthur,آرثر
plate,طبق
appear,يظهر
clever,ماهر
hm,حسنًا
mercy,رحمة
shots,لقطات
lucy,لوسي
dealing,التعامل
trap,فخ
charges,رسوم
phil,فيل
bang,انفجار
poison,سم
butt,بعقب
drove,قاد
yourselves,أنفسكم
headed,ترأس
babies,أطفال
yellow,أصفر
soup,حساء
sat,قعد
wound,جرح
courage,شجاعة
hunt,مطاردة
indian,هندي
rat,فأر
terms,شروط
emma,إيما
disease,مرض
winner,الفائز
council,مجلس
appointment,ميعاد
monday,الاثنين
crack,كسر
threat,تهديد
jenny,جيني
nation,أمة
source,مصدر
chose,اختار
carl,كارل
rick,ريك
stood,وقفت
kicked,ركل
annie,آني
disgusting,مقزز
palace,قصر
below,أقل
neighborhood,حيّ
march,يمشي
lips,شفه
piss,شخ
pure,نقي
india,الهند
aside,جانبا
jerk,هَزَّة
mail,بريد
dawn,فَجر
effect,تأثير
spell,يتهجى
freak,غريب الأطوار
wood,خشب
gary,غاري
awake,مستيقظ
leo,ليو
grandmother,جدة
modern,حديث
luke,لوقا
firm,حازم
prime,رئيس الوزراء
heh,هيه
talent,المواهب
whore,عاهرة
piano,بيانو
cooking,طبخ
honour,شرف
concern,هَم
moves,التحركات
gods,الآلهة
value,قيمة
central,مركزي
union,الاتحاد
mirror,مرآة
studio,studio
media,وسائط
taxi,تاكسي
dies,يموت
iron,حديد
hearts,قلوب
desire,يرغب
rob,rob
claire,كلير
fred,فريد
songs,الأغاني
washington,واشنطن
monkey,قرد
pride,فخر
pills,حبوب
swim,السباحة
burned,أحرق
smells,الروائح
joking,يمزح
hook,خطاف
beating,الضرب
protection,حماية
ear,أذن
carter,كارتر
metal,معدن
rescue,ينقذ
capable,قادر
chatter,الثرثرة
result,نتيجة
laid,وضع
guards,حراس
louis,لويس
text,نص
remove,يزيل
performance,أداء
rate,معدل
deeply,بعمق
scream,تصرخ
desert,صحراء
josh,جوش
unbelievable,لا يصدق
ted,تيد
zero,صفر
dean,عميد
curious,فضولي
sean,شون
candy,حلوى
bone,عظم
tied,مربوط
edge,حافة
load,حمولة
susan,سوزان
ahh,اه
boom,بوم
former,سابق
riding,ركوب الخيل
scoffs,يسخر
motherfucker,موظر
sue,مقاضاة
bags,أكياس
appears,يظهر
arrive,يصل
decent,مقبول
issues,مشاكل
tip,نصيحة
fail,يفشل
bride,زوجة
pissed,سكران
penny,بنس واحد
claim,مطالبة
friendship,الصداقة
flower,ورد
